"","line_text_star_final","line_text_final"
"63","10","기대안하고 봤는데 계속 낄낄대고 웃었음나중에 웃다가 옆에 아주머니랑 눈 마주쳐서 또 터지고연출이 뭔가 어설픈 부분은 있는데중간중간 웃음 포인트가 많고뒷부분 김영광 액션이 생각보다 훌륭데이트 무비로 추천합니다"
"64","10","많이 웃은 영화 오랜만이에요 너무 재밌었어요ㅠㅜ"
"65","1","솔직히 액션은 괜찮은데 졸았습니다"
"66","10","김영광 너무 재밌었어요 일년중 개봉한 영화중에 제일 재밌네용"
"67","10","여자친구랑 영화봤는데 시간 가는 줄 몰랐습니다"
"68","8","생각없이 보기 좋은 코미디영화임 액션신은 꽤 봐줄만함"
"69","2","사람 마다  웃음포인트 가 틀리긴하지만 ~  지금 1시간째 보고 있는데  어디서 웃어야할지~ 걍 평점만보고 1년 반만에  극장왔는데 ~  ㅡㅡ걍  나갈려구요 ~  영화보다 딴짓하는건 처음인듯~더이상 보나마나인듯"
"70","4","그냥 개뻔한 평범한 스토리댓글알바가 아직도 이렇게 판친다"
"71","4","댓글알바들 많네 그닥 재밌지 않습니다"
"72","2","겁나 웃었음어이없어서 잼있었음"
"73","1","네이버평점 보고 관람하지마시길 알바네"
"74","10","짱잼ㅠㅠㅠ 김영광 너무 좋아 ㅠㅠ"
"75","10","일년치 웃을거 다 웃다 나온 느낌"
"76","8","유쾌한 스토리와 나름의 반전 재밌더라"
"77","8","웃음 빵빵 진심 재밌어요"
"78","10","둘 케미 넘 좋았음 김영광 액션씬멋있었고 재밌었어요"
"79","8","개인적으로 후속편도 나왔으면 좋겠어여"
"80","8","배우들 캐스팅 잘 한거 같아요^^"
"81","10","배꼽빠지는줄  미치것다"
"82","10","시간 후딱가네용 하하"
"83","2","진짜농담아니고 재미없슴배우들이너무착해방향만 조금만틀었어도자연스럽게 웃기려고했어도별2개반은 가능했을텐데가리지않는 편인데도시간때우는거아니었슴13000원버리고 나왔을텐데집에가는중"
"84","1","이거 평이 왜이렇게 높지웃기려고 엄청 애쓰는데 웃기지도 않고심지어 졸다 나왔는데 스토리 개연성도없고 연기도 그냥그렇고코미디도 감동도 아닌그나마 후반부 액션신만 살짝 괜찮은정도"
"85","1","억지 웃음 유발하려는게 별로였고 스토리도 다 예상가서 노잼임"
"86","10","영광이형 멋있음"
"87","1","무슨 댓글이 다 케미로 도배되있음   알바 레전드네"
"88","2","아니 진심으로 어디가 웃기고 어디가 재밌는건가요2천원주고봐서 2점드립니다"
"89","2","진짜 평점 테러다당했다"
"90","1","진짜 공감댓글에 절대속지마세요진짜 쓰레기영화재밌는구간 하나도안웃긴데 웃긴다고 댓글작업 극혐이네 ㅡㅡ하올해본영화중 최악"
