"","line_text_star_final","line_text_final"
"56","1","최악 슈퍼맨 멜로찍는 순간부터 잤음 수트도 넘 촌스럽다합성도 거지같고 올드하다"
"57","1","감동도없고 재미도업ㅇ고 잠만오고 실망"
"58","1","이건 영화도 아냐  겔가돗 팔찌방어장면만 괜찮았다 리그인 이유가 없다 욕을 한바가지썼다가 댓글 몇번 삭제당해서 심한 욕은 안하겠다 이거 TV에서 영화체널에서 방영해도 보고싶지 않다 폐허에 피는 꽃 장면에"
"59","1","히어로 영화는 마블 미만 잡인듯"
"60","1","영화가 인피니티워 예고보다 노잼임"
"61","6","마블에 비해 세계관 접목이 어려움 조합도 별로"
"62","4","믿고거르는 디씨레알루"
"63","1","너무 실망했습니다 어벤져스와 비슷할 것이라고 예상한 제가 잘못이었군요 수퍼맨은 ㅈㄴ쌔고 배트맨은 ㅈㅃ으로 묘사됩니다  웬만하면 보지 마시길 바랍니다"
"64","3","어벤져스하고 수준차이 넘 나자너"
"65","7","어떻게 그렇게 돈을 쳐 부어대는데 이런 퀄만 나오냐 마케팅에 그렇게 치중해서 있는 액션신은 죄다 예고편에 풀어버린거"
"66","7","전작 배트맨 대 수퍼맨 때문에 볼지말지 고민했으나 기우였다배우들은 진짜 수퍼히어로 같았고 스토리도 지루하지 않고 탄탄했다 특히 수퍼맨이 없는 암울한 현실을 슬픈 음악과 함께 한편의 뮤직비디오처럼 만든 초반 도"
"67","6","장  슬로우 모션을 활용한 잭스나이더 특유의 액션단  개연성 부족하고 다소 어이없는 전개       원작팬들만을 위한 불친절한 떡밥"
"68","7","스토리 뭐 그런거 이해합니다 마블 따라잡기 위해서는 갑자기 다량의 캐릭터들이 필요했고 소개하는 장면들은 그러려니하고 넘어 갔습니다그런데 영화 보는 목적이 액션이잖아요근데 액션이 구려요 특히 원더우먼허우적거리"
"69","8","원더우먼 최고 슈퍼맨 젤 쎄고 나머지 히어로들과 허접한 빌런  마블처럼 히어로 밸런스가 없음 빌런 걍허접"
